SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
TRANSRAILL,27-Jun-2025,657.65,917886,31.36,656.8,72741,2926640,19247.11,603647727.9
TRANSWORLD,27-Jun-2025,273.29,7653,58.69,272.0,758,13039,35.63,2091488.37
TREJHARA,27-Jun-2025,245.4,23956,48.26,242.06,2451,49641,121.82,5878802.4
TREL,27-Jun-2025,34.34,199242,61.95,34.9,2572,321621,110.46,6841970.28
TRENT,27-Jun-2025,6035.28,1425779,73.67,6019.5,102677,1935325,116802.29,8604975483.119999
TRF,27-Jun-2025,387.32,6714,51.21,383.7,868,13110,50.78,2600466.48
TRIDENT,27-Jun-2025,31.57,2648296,33.19,31.54,22256,7978670,2518.7,83606704.72
TRIGYN,27-Jun-2025,85.12,19985,53.75,84.24,1092,37182,31.65,1701123.2000000002
TRITURBINE,27-Jun-2025,625.41,1296542,25.76,606.7,113593,5034127,31483.84,810870332.2199999
TRIVENI,27-Jun-2025,385.2,361801,49.44,382.7,21818,731783,2818.86,139365745.2
TTKHLTCARE,27-Jun-2025,1282.64,955,66.97,1282.3,338,1426,18.29,1224921.2000000002
TTKPRESTIG,27-Jun-2025,624.73,12786,52.36,624.5,2543,24420,152.56,7987797.78
TVSHLTD,27-Jun-2025,10991.37,2663,60.44,11006.0,1706,4406,484.28,29270018.310000002
TVSMOTOR,27-Jun-2025,2940.52,1684416,75.49,2939.3,78748,2231250,65610.44,4953058936.32
TVSSCS,27-Jun-2025,136.73,218715,46.91,135.59,6818,466251,637.51,29904901.95
TVSSRICHAK,27-Jun-2025,3036.14,1041,43.34,3032.3,886,2402,72.93,3160621.7399999998
TVTODAY,27-Jun-2025,171.93,22871,47.62,172.19,1802,48025,82.57,3932211.0300000003
UBL,27-Jun-2025,1967.86,141039,73.00,1959.0,27122,193205,3802.01,277545006.53999996
UCAL,27-Jun-2025,156.42,12095,41.55,155.21,892,29111,45.53,1891899.9
UCOBANK,27-Jun-2025,31.06,14598262,43.55,31.53,57203,33518491,10411.28,453422017.71999997
UDAICEMENT,27-Jun-2025,31.38,830113,61.24,31.55,6699,1355420,425.32,26048945.939999998
UDS,27-Jun-2025,291.53,79053,56.39,290.65,5141,140182,408.67,23046321.089999996
UFLEX,27-Jun-2025,609.49,16697,63.46,607.85,2151,26309,160.35,10176654.53
UFO,27-Jun-2025,73.53,38838,48.98,73.1,1161,79294,58.3,2855758.14
UGARSUGAR,27-Jun-2025,47.81,81406,34.24,47.54,1786,237727,113.67,3892020.8600000003
UGROCAP,27-Jun-2025,174.24,244274,59.21,173.91,6097,412522,718.8,42562301.760000005
UJJIVANSFB,27-Jun-2025,48.98,4630854,55.16,48.79,31786,8396020,4112.15,226819228.92
ULTRACEMCO,27-Jun-2025,12106.18,343235,68.47,12213.0,64548,501287,60686.72,4155264692.3
UMAEXPORTS,27-Jun-2025,55.79,83455,54.80,55.26,2868,152295,84.96,4655954.45
UMESLTD,27-Jun-2025,5.86,29024,75.43,5.81,227,38477,2.25,170080.64
UMIYA-MRO,27-Jun-2025,79.37,47768,61.40,78.95,1225,77803,61.75,3791346.16
UNICHEMLAB,27-Jun-2025,595.86,23716,73.14,591.9,1935,32424,193.2,14131415.76
UNIDT,27-Jun-2025,225.1,13322,49.41,222.62,1181,26963,60.69,2998782.1999999997
UNIECOM,27-Jun-2025,124.22,238969,34.71,123.18,6472,688390,855.12,29684729.18
UNIENTER,27-Jun-2025,150.07,29804,71.31,150.2,637,41793,62.72,4472686.28
UNIONBANK,27-Jun-2025,150.18,6854311,45.92,149.06,67304,14926048,22415.27,1029380425.98
UNIONGOLD,27-Jun-2025,94.79,1352,32.29,94.25,67,4187,3.97,128156.08
UNIPARTS,27-Jun-2025,384.57,13774,56.45,385.0,1600,24402,93.84,5297067.18
UNITDSPR,27-Jun-2025,1446.13,1770899,83.13,1442.2,86205,2130175,30805.07,2560950170.8700004
UNITEDPOLY,27-Jun-2025,19.76,89476,52.57,19.65,461,170200,33.63,1768045.7600000002
UNITEDTEA,27-Jun-2025,440.79,869,72.96,441.5,201,1191,5.25,383046.51
UNIVASTU,27-Jun-2025,245.24,13486,72.93,245.51,622,18491,45.35,3307306.64
UNIVCABLES,27-Jun-2025,763.26,36109,43.48,743.65,8376,83046,633.86,27560555.34
UNIVPHOTO,27-Jun-2025,240.75,121,33.99,241.24,100,356,0.86,29130.75
UNOMINDA,27-Jun-2025,1100.69,722117,50.66,1109.8,67377,1425495,15690.3,794826960.73
UPL,27-Jun-2025,643.83,2153741,67.04,644.9,82782,3212791,20684.78,1386643068.03
URJA,27-Jun-2025,15.29,855343,57.05,15.21,4949,1499187,229.23,13078194.469999999
USHAMART,27-Jun-2025,355.06,680158,33.78,355.55,45955,2013593,7149.53,241496899.48
USK,27-Jun-2025,38.16,22674,58.20,38.12,757,38962,14.87,865239.84
UTIAMC,27-Jun-2025,1270.06,343374,64.05,1257.6,24285,536120,6809.07,436105582.44
UTIBANKETF,27-Jun-2025,59.12,371727,48.94,59.19,627,759530,449.06,21976500.24
UTINEXT50,27-Jun-2025,73.33,51813,65.22,73.32,775,79439,58.25,3799447.29
UTINIFTETF,27-Jun-2025,279.91,35802,97.56,280.08,272,36698,102.72,10021337.82
UTISENSETF,27-Jun-2025,918.2,1329,80.74,922.35,133,1646,15.11,1220287.8
UTISXN50,27-Jun-2025,90.83,5256,84.66,91.11,141,6208,5.64,477402.48
UTKARSHBNK,27-Jun-2025,24.16,1462770,42.47,24.19,8806,3444410,832.27,35340523.2
UTTAMSUGAR,27-Jun-2025,302.34,16402,40.93,301.45,1351,40077,121.17,4958980.68
UYFINCORP,27-Jun-2025,17.69,47454,44.54,17.76,1423,106543,18.84,839461.26
V2RETAIL,27-Jun-2025,1787.35,34570,75.94,1781.5,3621,45524,813.67,61788689.5
VADILALIND,27-Jun-2025,5611.62,6953,53.51,5563.5,3155,12993,729.12,39017593.86
VAIBHAVGBL,27-Jun-2025,238.78,326108,71.81,237.15,8429,454125,1084.37,77868068.24
VAISHALI,27-Jun-2025,11.54,560742,65.03,11.54,1535,862315,99.53,6470962.68
VAL30IETF,27-Jun-2025,13.35,174596,69.38,13.34,403,251651,33.59,2330856.6
VALIANTLAB,27-Jun-2025,115.17,6938,50.61,114.97,368,13710,15.79,799049.46
VARDHACRLC,27-Jun-2025,48.71,50571,65.03,48.5,1165,77762,37.88,2463313.41
VARDMNPOLY,27-Jun-2025,12.21,455966,67.53,12.17,1615,675191,82.47,5567344.86
VARROC,27-Jun-2025,576.46,83587,41.00,571.0,10008,203893,1175.36,48184562.02
VASCONEQ,27-Jun-2025,54.1,468972,42.46,53.41,6844,1104510,597.52,25371385.2
VASWANI,27-Jun-2025,45.68,11462,53.86,45.69,397,21282,9.72,523584.16
VBL,27-Jun-2025,462.33,4834266,64.79,461.6,66258,7460924,34493.85,2235026199.7799997
VEDL,27-Jun-2025,464.7,13649820,57.41,463.75,159565,23776172,110487.73,6343071354.0
VEEDOL,27-Jun-2025,1668.71,19243,62.50,1663.5,3447,30788,513.76,32110986.53
VENKEYS,27-Jun-2025,1612.81,12079,65.42,1605.6,1312,18465,297.8,19481131.99
VENTIVE,27-Jun-2025,690.65,100037,69.62,688.65,7866,143686,992.36,69090554.05
VENUSPIPES,27-Jun-2025,1378.73,12823,35.77,1360.2,4923,35847,494.23,17679454.79
VERANDA,27-Jun-2025,197.54,9360,55.74,196.88,589,16792,33.17,1848974.4
VESUVIUS,27-Jun-2025,557.95,38925,54.90,553.5,5907,70900,395.59,21718203.75
VETO,27-Jun-2025,125.82,29454,60.61,125.21,1241,48594,61.14,3705902.28
VGUARD,27-Jun-2025,388.66,480263,70.13,386.7,24877,684813,2661.58,186659017.58
VHL,27-Jun-2025,4101.24,823,52.72,4083.6,525,1561,64.02,3375320.52
VIDHIING,27-Jun-2025,412.32,9625,52.92,409.55,1563,18189,75.0,3968580.0
VIJAYA,27-Jun-2025,990.97,82064,40.71,989.6,14479,201564,1997.43,81322962.08
VIJIFIN,27-Jun-2025,2.3,40341,77.36,2.31,230,52145,1.2,92784.29999999999
VIKASECO,27-Jun-2025,2.52,2224436,47.69,2.52,2396,4664819,117.58,5605578.72
VIKASLIFE,27-Jun-2025,2.6,2849115,53.35,2.59,9526,5340373,139.02,7407699.0
VIMTALABS,27-Jun-2025,447.7,77106,54.66,438.2,9577,141071,631.57,34520356.199999996
VINATIORGA,27-Jun-2025,1963.98,13809,50.46,1969.9,3995,27368,537.5,27120599.82
VINCOFE,27-Jun-2025,124.91,1053390,33.74,123.86,21634,3122519,3900.33,131578944.89999999
VINDHYATEL,27-Jun-2025,1712.05,4974,54.26,1705.8,1612,9167,156.94,8515736.7
VIPCLOTHNG,27-Jun-2025,40.22,108984,48.19,39.85,1131,226165,90.96,4383336.4799999995
VIPIND,27-Jun-2025,417.34,236183,37.89,417.2,19930,623310,2601.34,98568613.22
VIRINCHI,27-Jun-2025,22.04,48804,43.85,21.87,1479,111308,24.53,1075640.16
VISAKAIND,27-Jun-2025,86.67,134837,48.55,85.68,3724,277718,240.7,11686322.790000001
VISHNU,27-Jun-2025,536.92,155487,55.81,532.6,14161,278589,1495.79,83484080.03999999
VISHWARAJ,27-Jun-2025,10.02,350236,51.34,10.0,1726,682242,68.37,3509364.7199999997
VIVIDHA,27-Jun-2025,0.86,341714,89.59,0.85,306,381440,3.27,293874.04
VLSFINANCE,27-Jun-2025,248.81,5055,46.11,248.81,662,10962,27.27,1257734.55
VMART,27-Jun-2025,858.17,52559,47.55,856.6,10676,110542,948.64,45104557.03
VMM,27-Jun-2025,133.95,6145041,33.99,134.66,71604,18077824,24215.53,823128241.9499999
VOLTAMP,27-Jun-2025,9314.47,29198,41.36,9286.0,20118,70600,6576.01,271963895.06
VOLTAS,27-Jun-2025,1308.36,3522552,77.70,1305.3,111334,4533397,59313.17,4608766134.719999
VPRPL,27-Jun-2025,168.8,495825,24.63,169.94,27626,2013299,3398.45,83695260.0
VRAJ,27-Jun-2025,179.59,16376,51.35,179.46,1385,31894,57.28,2940965.84
VRLLOG,27-Jun-2025,574.99,33312,51.33,572.5,5991,64900,373.17,19154066.88
VSSL,27-Jun-2025,266.36,34752,41.73,263.6,3793,83288,221.85,9256542.72
VSTIND,27-Jun-2025,295.68,435296,50.93,296.75,18630,854738,2527.28,128708321.28
VSTL,27-Jun-2025,158.99,21663,64.65,157.51,1052,33510,53.28,3444200.37
VSTTILLERS,27-Jun-2025,3680.66,2193,60.25,3679.3,1224,3640,133.98,8071687.38
VTL,27-Jun-2025,492.81,501749,85.80,493.05,7980,584822,2882.07,247266924.69
WAAREEENER,27-Jun-2025,2966.62,268245,21.29,2947.5,64385,1260205,37385.44,795780981.9
WAAREERTL,27-Jun-2025,990.63,97787,52.37,985.4,9986,186728,1849.78,96870735.81
WABAG,27-Jun-2025,1494.95,84883,42.27,1488.5,15976,200828,3002.28,126895840.85000001
WCIL,27-Jun-2025,121.11,1267492,19.50,121.46,48788,6501071,7873.58,153505956.12
WEALTH,27-Jun-2025,1255.11,4859,58.00,1253.45,946,8377,105.14,6098579.489999999
WEBELSOLAR,27-Jun-2025,1323.92,85132,60.11,1317.3,8530,141636,1875.14,112707957.44000001
WEIZMANIND,27-Jun-2025,117.4,1187,55.13,116.63,192,2153,2.53,139353.80000000002
WEL,27-Jun-2025,163.36,74099,37.40,161.73,5366,198112,323.63,12104812.64
WELCORP,27-Jun-2025,938.39,416474,60.10,940.4,28135,692920,6502.31,390815036.86
WELENT,27-Jun-2025,542.67,252565,33.81,532.4,26617,747086,4054.25,137059448.54999998
WELSPUNLIV,27-Jun-2025,142.72,1836551,30.06,144.16,43932,6109953,8720.43,262112558.72
WENDT,27-Jun-2025,8482.23,7861,52.34,8502.0,3676,15018,1273.86,66678810.029999994
WESTLIFE,27-Jun-2025,749.18,37700,60.27,751.65,5940,62557,468.67,28244085.999999996
WEWIN,27-Jun-2025,50.17,4150,89.15,50.25,78,4655,2.34,208205.5
